"Process Name", PID, Session Name, Session#, Mem Usage
"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","6,872 K"
"Secure System","108","Services","0","32,612 K"
"Registry","148","Services","0","59,252 K"
"smss.exe","620","Services","0","1,160 K"
"csrss.exe","872","Services","0","5,340 K"
"wininit.exe","960","Services","0","5,972 K"
"csrss.exe","980","Console","1","5,976 K"
"services.exe","580","Services","0","10,236 K"
"LsaIso.exe","720","Services","0","3,448 K"
"lsass.exe","760","Services","0","21,852 K"
"winlogon.exe","1064","Console","1","12,316 K"
"svchost.exe","1184","Services","0","31,956 K"
"fontdrvhost.exe","1224","Services","0","3,316 K"
"fontdrvhost.exe","1220","Console","1","3,700 K"
"WUDFHost.exe","1304","Services","0","7,436 K"
"svchost.exe","1360","Services","0","15,444 K"
"svchost.exe","1412","Services","0","8,092 K"
"dwm.exe","1504","Console","1","189,108 K"
"svchost.exe","1572","Services","0","4,892 K"
"svchost.exe","1596","Services","0","14,664 K"
"svchost.exe","1604","Services","0","9,520 K"
"svchost.exe","1616","Services","0","13,536 K"
"svchost.exe","1640","Services","0","8,744 K"
"svchost.exe","1704","Services","0","8,280 K"
"svchost.exe","1728","Services","0","12,356 K"
"svchost.exe","1740","Services","0","12,252 K"
"svchost.exe","1840","Services","0","10,672 K"
"svchost.exe","1872","Services","0","16,012 K"
"svchost.exe","1912","Services","0","5,776 K"
"svchost.exe","1940","Services","0","10,156 K"
"svchost.exe","1948","Services","0","9,676 K"
"svchost.exe","1968","Services","0","9,792 K"
"svchost.exe","1992","Services","0","16,536 K"
"IntelCpHDCPSvc.exe","2208","Services","0","5,160 K"
"svchost.exe","2240","Services","0","14,832 K"
"svchost.exe","2264","Services","0","7,420 K"
"svchost.exe","2276","Services","0","8,992 K"
"svchost.exe","2376","Services","0","7,588 K"
"svchost.exe","2436","Services","0","6,084 K"
"WUDFHost.exe","2444","Services","0","16,484 K"
"svchost.exe","2632","Services","0","8,428 K"
"svchost.exe","2656","Services","0","8,292 K"
"svchost.exe","2804","Services","0","8,444 K"
"svchost.exe","2828","Services","0","13,620 K"
"svchost.exe","2868","Services","0","7,352 K"
"igfxCUIServiceN.exe","2912","Services","0","10,568 K"
"svchost.exe","2792","Services","0","9,160 K"
"AppHelperCap.exe","3232","Services","0","21,784 K"
"DiagsCap.exe","3252","Services","0","15,060 K"
